grid_id,1st_bus_stop,1st_stop_id,1st_dist_m,2nd_bus_stop,2nd_stop_id,2nd_dist_m,3rd_bus_stop,3rd_stop_id,3rd_dist_m,tmap_success,walk_time_min,walk_dist_m
마마2291, 신전(용계방면),571503.0,392.0, 신전(화남방면),571505.0,513.5, 구전리.별곡(신전방면),570866.0,1012.7,N_PathError,,
마마2292, 솔명못앞,571507.0,1077.8, 솔명못건너,571506.0,1077.8, 신전(용계방면),571503.0,1357.3,N_PathError,,
마마2493, 용계리,571504.0,376.8, 솔명못앞,571507.0,1169.4, 솔명못건너,571506.0,1169.4,N_PathError,,
마마2393, 솔명못건너,571506.0,620.5, 솔명못앞,571507.0,620.5, 용계리,571504.0,742.8,N_PathError,,
마마2295, 솔명못건너,571506.0,2362.6, 솔명못앞,571507.0,2362.6, 용계리,571504.0,2427.8,N_PathError,,
마마3474, 대성리경로당건너,570215.0,692.5, 대의리.청각단(오류방면),570187.0,698.1, 대성리경로당앞,570188.0,730.8,N_PathError,,
마마3475, 서은사.새각단(오류방면),570186.0,191.0, 대의리.청각단(영천방면),570216.0,219.9, 서은사.새각단(영천방면),570217.0,224.4,N_PathError,,
마마3575, 거곡로.대성양달(영천방면),570214.0,559.1, 거곡로.대성양달(오류방면),570189.0,559.1, 대성리경로당앞,570188.0,751.1,N_PathError,,
마마3375, 대의리회관앞,570219.0,397.3, 대의리회관건너,570184.0,400.5, 대의리.굼각단(영천방면),570220.0,408.4,N_PathError,,
마마3376, 단포초등학교건너,570133.0,335.3, 양정(오류방면),570182.0,375.1, 양정(영천방면),570221.0,375.1,N_PathError,,
마마3576, 고도리.민도경로당,570204.0,395.3, 고도1리경로당앞,570209.0,819.1, 엔텍 앞,571643.0,851.3,N_PathError,,
마마3477, 3사관학교(정문)건너,570136.0,255.4, 3사관학교(정문)앞,570175.0,286.2, 고도입구(영천방면),570174.0,460.3,N_PathError,,
마마3577, 고도1리경로당건너,570201.0,177.9, 드림랜드입구건너,570202.0,207.1, 드림랜드입구,570208.0,207.1,N_PathError,,
마마3377, 창하리.창방우(영천방면),570242.0,113.2, 창하리.창방우(임고방면),570224.0,126.1, 3사관서문건너,570243.0,231.3,N_PathError,,
마마3274, 금강사,571720.0,684.7, 용천사입구,571719.0,761.0, 쓰레기매립장입구,571721.0,768.0,Y,7.3,564
마마3174, 완산2동경로당,571717.0,503.9, 용천사입구,571719.0,567.4, 완산1동경로당,571718.0,686.1,Y,7.0,539
마마3275, 파크골프장입구,571722.0,373.8, 쓰레기매립장입구,571721.0,456.6, 금강사,571720.0,697.4,Y,4.2,306
마마3175, 장천삼거리,571725.0,117.6, 장천회관,571724.0,225.4, 행복마을노인복지센터,571723.0,363.9,Y,7.2,555
마마3076, 영동고등학교건너,570057.0,94.5, 망정네거리,570058.0,106.6, 동부사거리,570026.0,113.3,Y,1.2,106
마마3176, 영천소방서건너,570016.0,130.7, 동부초등학교건너,570017.0,137.2, 소방서입구,570070.0,191.6,Y,1.4,115
마마3276, 해피포유A입구,570179.0,450.3, 조교삼거리(고경방면),570132.0,548.5, 조교삼거리(3번노선전용),570180.0,594.8,Y,5.5,425
마마3277, 언하1동,571532.0,170.5, 언하동.새미(임고방면),570307.0,596.9, 언하동(조교방면),570068.0,606.4,Y,11.5,884
마마3177, 갑을공단(화신건너),570067.0,102.8, 창신아파트앞,570021.0,346.3, 창신아파트건너(우로지앞),570066.0,372.6,Y,6.6,497
