격자코드,경도,위도,총인구수,최종_선정_의료기관,최종_이동시간_분,최종_주행거리_km,API_검증상태
마마3674,129.0136558,35.9576943,8,육군3사관학교의원,12.53,7.91,복구완료 (시간이상치 -> 주변평균 대체)
마마3474,128.9914845,35.95797194,5,육군3사관학교의원,12.5,7.36,완료 (유클리드 1위 일치)
마마3975,129.047088,35.96628286,5,육군3사관학교치과의원,12.5,6.74,완료 (시간순 역전: 후보2 선정)
마마1478,128.7703334,35.99657818,19,청통보건지소,12.48,6.41,완료 (유클리드 1위 일치)
마마4784,129.137455,36.04621663,5,사리보건진료소,12.45,8.71,완료 (시간순 역전: 후보2 선정)
마마2387,128.8715663,36.07659908,5,화남보건지소,12.4,4.07,완료 (시간순 역전: 후보2 선정)
마마3270,128.9686456,35.92219324,8,북안보건지소,12.35,6.24,완료 (유클리드 1위 일치)
마마2982,128.9373628,36.03075301,68,평천보건진료소,12.32,7.01,완료 (시간순 역전: 후보2 선정)
마마2660,128.9005714,35.83285403,13,대창보건지소,12.3,6.45,완료 (유클리드 1위 일치)
마마2989,128.938511,36.09384403,8,화북보건지소,12.28,7.15,완료 (유클리드 1위 일치)
마마3574,129.0025702,35.95783363,88,육군3사관학교의원,12.25,6.62,완료 (유클리드 1위 일치)
마마2190,128.8498226,36.10389108,5,안천보건진료소,12.23,5.78,완료 (유클리드 1위 일치)
마마3864,129.0340855,35.86728425,38,명주보건진료소,12.22,7.78,완료 (유클리드 1위 일치)
마마4177,129.069618,35.98402007,8,고경보건지소,12.2,4.89,완료 (유클리드 1위 일치)
마마3896,129.0396851,36.15568982,8,보현보건진료소,12.2,3.77,완료 (유클리드 1위 일치)
마마3098,128.951109,36.17482579,5,상송보건진료소,12.18,4.82,복구완료 (인접도로 매핑 / 1위 일치)
마마3870,129.0351293,35.92136141,23,북안보건지소,12.13,5.4,완료 (시간순 역전: 후보2 선정)
마마3097,128.9509428,36.165813,28,상송보건진료소,12.13,4.82,완료 (유클리드 1위 일치)
마마2477,128.8810946,35.98633881,5,우천보건진료소,12.07,5.75,완료 (유클리드 1위 일치)
마마3068,128.9461556,35.90443595,144,의료법인동승의료재단 동승병원,12.05,4.96,완료 (시간순 역전: 후보2 선정)
마마4684,129.1263577,36.04636772,18,사리보건진료소,12.02,8.59,완료 (시간순 역전: 후보2 선정)
마마2983,128.9375266,36.03976606,28,화남보건지소,12,7.35,완료 (시간순 역전: 후보3 선정)
마마4277,129.0807069,35.98387446,8,고경보건지소,11.98,4.83,완료 (유클리드 1위 일치)
마마3764,129.0230126,35.86742516,8,명주보건진료소,11.95,5.53,완료 (유클리드 1위 일치)
마마4077,129.058529,35.98416466,38,고경보건지소,11.93,7.97,완료 (유클리드 1위 일치)
마마4484,129.1041627,36.04666681,5,사리보건진료소,11.93,7.59,완료 (시간순 역전: 후보2 선정)
마마3065,128.9456639,35.87739626,38,운천보건진료소,11.92,4.36,완료 (유클리드 1위 일치)
마마2883,128.9264291,36.03989862,123,화남보건지소,11.92,5.75,완료 (유클리드 1위 일치)
마마2994,128.9393334,36.13890862,8,상송보건진료소,11.92,4.03,완료 (유클리드 1위 일치)
마마3386,128.9824229,36.06626407,13,평천보건진료소,11.9,4.95,완료 (유클리드 1위 일치)
마마3294,128.9726672,36.13850332,5,상송보건진료소,11.88,7.88,완료 (유클리드 1위 일치)
마마2364,128.8679841,35.86929085,113,대창보건지소,11.88,5.94,완료 (유클리드 1위 일치)
마마3371,128.9798944,35.93107019,103,북안보건지소,11.82,6.11,완료 (유클리드 1위 일치)
마마4672,129.1241387,35.9382199,28,파계보건진료소,11.82,5.12,완료 (유클리드 1위 일치)
마마3675,129.0138279,35.96670714,5,육군3사관학교의원,11.8,7.15,완료 (유클리드 1위 일치)
마마2576,128.8920264,35.97719731,38,한의마을한의원,11.77,4.74,완료 (시간순 역전: 후보2 선정)
마마2684,128.904394,36.04917382,93,화남보건지소,11.75,5.04,완료 (유클리드 1위 일치)
마마1680,128.7928119,36.01436844,33,현대연합의원,11.68,5.92,완료 (유클리드 1위 일치)
마마4173,129.0689045,35.94796966,5,고경보건지소,11.63,7.66,완료 (시간순 역전: 후보2 선정)
마마1484,128.7712019,36.05066029,23,신령의원,11.58,8.16,완료 (시간순 역전: 후보3 선정)
마마2174,128.8473639,35.95967681,28,금호의원,11.55,4.5,완료 (시간순 역전: 후보2 선정)
마마4287,129.0825089,36.07399901,8,자양보건지소,11.52,7.95,완료 (시간순 역전: 후보2 선정)
마마4073,129.0578205,35.94811406,8,북안보건지소,11.52,7.59,완료 (시간순 역전: 후보2 선정)
마마1875,128.814253,35.96905929,59,청통보건지소,11.5,6.41,완료 (유클리드 1위 일치)
마마1586,128.7825942,36.06856924,5,신녕보건지소,11.48,4.08,완료 (유클리드 1위 일치)
마마4391,129.0943384,36.10990112,23,보현보건진료소,11.42,6.93,완료 (유클리드 1위 일치)
마마2574,128.89171,35.95917066,5,금호보건지소,11.42,3.73,완료 (시간순 역전: 후보3 선정)
마마3977,129.0474399,35.98430823,13,육군3사관학교치과의원,11.35,5.44,완료 (시간순 역전: 후보2 선정)
마마3179,128.9590565,36.00344594,68,영천 퍼스트 치과의원,11.33,10.88,완료 (시간순 역전: 후보2 선정)
마마4686,129.1267287,36.06439216,8,사리보건진료소,11.33,7.54,복구완료 (인접도로 매핑 / 시간역전: 후보2)
마마3580,129.003596,36.01191076,8,임고보건지소,11.33,3.9,완료 (유클리드 1위 일치)
마마3865,129.0342593,35.87629714,123,명주보건진료소,11.32,7.08,완료 (유클리드 1위 일치)
마마2781,128.9150091,36.02200387,68,영천요양병원,11.28,4.82,완료 (유클리드 1위 일치)
마마3589,129.00514,36.0930255,33,자양보건지소,11.23,4.6,완료 (유클리드 1위 일치)
마마2581,128.8928188,36.02226368,8,화남보건지소,11.22,8.75,완료 (시간순 역전: 후보3 선정)
마마2594,128.8948872,36.13943459,8,상송보건진료소,11.17,4.28,복구완료 (시간이상치 -> 주변평균 대체)
마마2662,128.9008884,35.85088099,5,대창보건지소,11.15,4.11,완료 (유클리드 1위 일치)
마마4288,129.0826895,36.08301139,23,자양보건지소,11.07,6.96,완료 (시간순 역전: 후보2 선정)
마마2987,128.9381826,36.0758181,5,화북보건지소,11.03,5.93,완료 (유클리드 1위 일치)
마마3267,128.9681459,35.8951539,13,운천보건진료소,11,6.17,완료 (시간순 역전: 후보2 선정)
마마2269,128.8576795,35.91448431,98,경북연합의원,11,5.33,완료 (시간순 역전: 후보3 선정)
마마2268,128.8575254,35.90547077,5,경북연합의원,10.95,5.84,완료 (시간순 역전: 후보3 선정)
마마2286,128.860308,36.06771236,8,화남보건지소,10.83,3.65,완료 (유클리드 1위 일치)
마마1678,128.7925176,35.99634117,52,청통보건지소,10.82,4.17,복구완료 (인접도로 매핑 / 1위 일치)
마마2772,128.9135614,35.94088491,28,의료법인동승의료재단 동승병원,10.8,6.35,완료 (시간순 역전: 후보2 선정)
마마2692,128.9056773,36.12127859,13,화북보건지소,10.77,3.31,완료 (유클리드 1위 일치)
마마2491,128.883301,36.11252416,13,안천보건진료소,10.75,4.25,완료 (유클리드 1위 일치)
마마2981,128.9371991,36.02173995,43,의료법인현보의료재단 해오름요양병원,10.73,4.82,완료 (시간순 역전: 후보2 선정)
마마3765,129.0231851,35.8764381,83,명주보건진료소,10.73,5.12,완료 (유클리드 1위 일치)
마마2074,128.8362772,35.95980079,163,청통보건지소,10.7,6.86,완료 (유클리드 1위 일치)
마마3265,128.9678132,35.8771276,23,명주보건진료소,10.7,4.51,완료 (유클리드 1위 일치)
마마2463,128.8789019,35.86015069,23,대창보건지소,10.7,4.19,완료 (유클리드 1위 일치)
마마3394,128.9837783,36.13836616,5,보현보건진료소,10.67,6.33,완료 (유클리드 1위 일치)
마마1679,128.7926647,36.00535482,88,청통보건지소,10.67,4.13,완료 (유클리드 1위 일치)
마마3079,128.9479642,36.00358038,13,영천 퍼스트 치과의원,10.65,9.86,완료 (시간순 역전: 후보2 선정)
마마3493,128.9947184,36.1292153,68,보현보건진료소,10.63,5.59,완료 (유클리드 1위 일치)
마마2969,128.9352399,35.91358212,123,의료법인동승의료재단 동승병원,10.62,7.99,복구완료 (시간이상치 -> 주변평균 대체)
마마3981,129.0481446,36.0203588,18,고경보건지소,10.62,4.68,완료 (유클리드 1위 일치)
마마1290,128.749858,36.10497571,18,신령의원,10.57,8.69,완료 (시간순 역전: 후보3 선정)
마마3986,129.0490272,36.06542169,8,평천보건진료소,10.53,7,완료 (시간순 역전: 후보3 선정)
마마4076,129.0583517,35.97515203,5,고경보건지소,10.53,7.23,완료 (유클리드 1위 일치)
마마3393,128.9836086,36.12935345,48,보현보건진료소,10.52,6.16,완료 (유클리드 1위 일치)
마마3496,128.9952315,36.15625326,5,보현보건진료소,10.48,6.77,완료 (유클리드 1위 일치)
마마1286,128.7492873,36.06892106,43,신령의원,10.48,5.63,완료 (시간순 역전: 후보3 선정)
마마4673,129.1243231,35.9472323,8,파계보건진료소,10.47,4.75,완료 (유클리드 1위 일치)
마마3168,128.957234,35.904302,220,의료법인동승의료재단 동승병원,10.43,5.87,완료 (시간순 역전: 후보2 선정)
마마2290,128.8609294,36.10376542,108,안천보건진료소,10.42,5.45,완료 (유클리드 1위 일치)
마마2984,128.9376905,36.04877909,58,평천보건진료소,10.4,5.48,완료 (유클리드 1위 일치)
마마2962,128.9341018,35.85048911,103,운천보건진료소,10.35,5.55,완료 (유클리드 1위 일치)
마마4474,129.1023379,35.95654279,13,파계보건진료소,10.3,5.77,완료 (유클리드 1위 일치)
마마2573,128.8915518,35.95015732,133,의료법인송학의료재단 효사랑요양병원,10.28,3.7,완료 (유클리드 1위 일치)
