grid_id,target_bus_stop,target_stop_id,euclid_dist_m,final_walk_dist_m,calc_method,elderly_walk_time_min
마마1976, 송천리.월성(청통방면),571182.0,309.7,627.8,Detour_Model_2.027,14.9
마마2176, 청통면신덕리(금호방면),571197.0,904.4,1833.2,Detour_Model_2.027,43.6
마마2077, 보성리(봉수입구),571143.0,852.4,1727.8,Detour_Model_2.027,41.1
마마1977, 원촌1리.창마(송천방면),571175.0,255.0,516.9,Detour_Model_2.027,12.3
마마2177, 부경산업 앞,571141.0,460.0,932.4,Detour_Model_2.027,22.2
마마2078, 보성리(봉수입구),571143.0,390.5,791.5,Detour_Model_2.027,18.8
마마2178, 보성농공단지입구건너,571190.0,501.2,1015.9,Detour_Model_2.027,24.2
마마1978, 청통초등학교건너,571145.0,129.2,261.9,Detour_Model_2.027,6.2
마마2079, 계지1리(계포방면),571111.0,551.5,1117.9,Detour_Model_2.027,26.6
마마2478, 우천2리(대각사건너),571245.0,209.3,424.3,Detour_Model_2.027,10.1
마마2378, 우천2리(제부골),571135.0,570.9,1157.2,Detour_Model_2.027,27.6
마마2278, 보성리(목성건너),571192.0,893.4,1810.9,Detour_Model_2.027,43.1
마마2379, 석촌(화산방면),570985.0,680.9,1380.2,Detour_Model_2.027,32.9
마마2479, 삼부삼거리(영천방면),571133.0,321.4,651.5,Detour_Model_2.027,15.5
마마2279, 올베이,571702.0,827.7,1677.7,Detour_Model_2.027,39.9
마마2380, LPG충전소,570986.0,179.5,363.8,Detour_Model_2.027,8.7
마마2480, 이배이(영천방면),571592.0,321.6,651.9,Detour_Model_2.027,15.5
마마2280, 올베이,571702.0,388.7,787.9,Detour_Model_2.027,18.8
마마2381, 당곡(당지방면),571600.0,354.2,718.0,Detour_Model_2.027,17.1
마마3762, 당1리(영천방면),571661.0,2130.8,4319.1,Detour_Model_2.027,102.8
마마3662, 상리(상리방면),571381.0,1698.4,3442.7,Detour_Model_2.027,82.0
마마3663, 당1리(영천방면),571661.0,1420.7,2879.8,Detour_Model_2.027,68.6
마마3764, 효리종점,571404.0,891.1,1806.3,Detour_Model_2.027,43.0
마마3664, 용계리.원당골(용계방면),571375.0,1042.4,2112.9,Detour_Model_2.027,50.3
마마3864, 효리(영천방면),571405.0,1061.5,2151.7,Detour_Model_2.027,51.2
마마3765, 효리(효리방면),571403.0,157.6,319.5,Detour_Model_2.027,7.6
마마3865, 효리경로당건너,571402.0,623.4,1263.6,Detour_Model_2.027,30.1
마마3665, 효리종점,571404.0,723.4,1466.3,Detour_Model_2.027,34.9
마마3766, 도계서원입구,571415.0,370.6,751.2,Detour_Model_2.027,17.9
마마3666, 신리(영천방면),571398.0,245.8,498.2,Detour_Model_2.027,11.9
마마3767, 도천1리(영천방면),571411.0,390.3,791.1,Detour_Model_2.027,18.8
마마3667, 도천1리(영광학교건너),571370.0,225.9,457.9,Detour_Model_2.027,10.9
마마3360, 상리(영천방면),571384.0,2040.3,4135.7,Detour_Model_2.027,98.5
마마3460, 상리(영천방면),571384.0,1755.9,3559.2,Detour_Model_2.027,84.7
마마2660, 조곡리,570648.0,1989.6,4032.9,Detour_Model_2.027,96.0
마마3061, 영지사,570667.0,563.4,1142.0,Detour_Model_2.027,27.2
